UID,Humidity,Temperature,Age,Quantity,MTTF 
1,5.88,66.17,13,39764,69
2,42.76,40.29,4,45181,532
3,76.62,52.08,4,70397,93
4,45.91,90.26,14,49470,183
5,78.87,58.56,12,45145,447
6,56.77,79.91,10,40452,479
7,41.21,47.05,2,47357,541
8,32.71,73.5,17,57133,352
9,59.77,67.11,16,46510,306
10,20.78,93.24,3,77904,173
11,21.19,53.14,15,72802,316
12,70.66,88.72,4,72476,187
13,67.35,79.16,7,64523,268
14,80.13,65.13,10,73792,218
15,18.46,52.67,3,79897,394
16,14.7,61.27,9,77733,458
17,92.07,55.75,2,75627,302
18,86.49,91.28,16,78042,436
19,34.83,79.31,16,66785,175
20,84.83,50.03,5,30106,468
21,15.69,42.02,7,46018,496
22,5.27,56.04,17,63907,471
23,27.71,81.92,14,46454,353
24,51.75,46.4,16,50608,320
25,15.05,57.55,6,34403,228
26,27.51,78.0,9,58504,160
27,90.26,60.47,5,50528,262
28,11.14,84.23,14,65441,527
29,67.17,73.71,10,24089,445
30,66.46,84.47,17,77183,362
31,9.87,44.51,12,60062,91
32,48.17,42.66,12,76146,325
33,71.35,67.54,7,47864,100
34,64.95,38.34,14,29710,216
35,76.96,53.12,10,66032,415
36,34.74,35.27,11,76047,312
37,89.71,78.23,13,44168,97
38,8.07,56.47,5,38116,340
39,65.75,41.47,8,47373,171
40,50.76,52.06,12,38753,425
41,28.74,69.17,5,54092,276
42,54.35,51.61,15,32897,497
43,80.67,55.43,5,59907,384
44,60.57,65.17,12,34976,65
45,46.71,40.84,8,64800,315
46,94.78,38.69,10,33200,94
47,6.69,63.51,13,67572,334
48,75.11,60.3,5,76731,185
49,59.83,68.36,13,57744,446
50,97.0,45.39,3,27773,64
51,99.78,41.84,9,37535,172
52,72.81,59.71,16,47816,230
53,27.0,71.4,8,50900,569
54,38.88,78.26,2,59863,320
55,69.69,93.14,7,68471,537
56,66.37,67.13,17,25708,101
57,66.24,55.33,1,31788,162
58,44.65,48.79,6,53314,559
59,64.81,37.98,2,25851,524
60,80.63,71.88,7,70601,562
61,65.05,89.16,7,41882,87
62,51.06,50.64,11,29868,74
63,27.85,66.79,2,79000,84
64,40.03,49.69,11,28588,551
65,19.8,59.61,10,47565,498
66,36.23,48.0,9,77486,64
67,68.39,70.82,4,40418,273
68,95.24,38.42,10,31158,213
69,12.12,52.85,13,65452,312
70,20.48,76.44,4,66079,390
71,23.4,35.84,7,61957,384
72,9.8,68.26,8,38922,96
73,75.47,68.24,3,53997,117
74,57.94,63.66,16,52943,225
